,county,state,2016-01-31,2026-01-31,percent_growth,fema_region,totalResStructures
0,Los Angeles County,California,464826.83999516926,869779.6883968301,87.11907608559552,9,2284783.0
1,Cook County,Illinois,200469.79106204063,314157.00444078376,56.7103965023636,5,1241949.0
2,Harris County,Texas,172258.9267492792,276889.15220240055,60.74008902041367,6,1245880.0
3,Maricopa County,Arizona,233848.2823235869,456184.0432314402,95.07692709933904,9,1510831.0
4,San Diego County,California,487140.5223947232,904312.2198964852,85.63682927689878,9,890566.0
5,Orange County,California,565949.9984498344,1151445.823637341,103.45363137931074,9,791916.0
6,Kings County,New York,631938.1419770444,928469.9722276572,46.92418617475768,3,274664.0
7,Miami-Dade County,Florida,251597.59249630923,512717.4621226086,103.78472505857934,4,492181.0
8,Dallas County,Texas,152991.34961662063,302449.38006914797,97.69051049425514,6,615751.0
9,Riverside County,California,321312.13744915,599200.1676579128,86.4853822251706,9,728246.0
10,Queens County,New York,523585.1336462356,730362.8554097057,39.49266479807675,3,322316.0
11,King County,Washington,446665.47565781017,841346.0078241968,88.36154878214741,10,578363.0
12,Clark County,Nevada,207820.3305767117,425614.8737654995,104.79944025899543,9,719687.0
13,San Bernardino County,California,259329.24576049024,541770.7113401574,108.9123074998347,9,624158.0
14,Tarrant County,Texas,165053.11471222245,316231.0757995733,91.59352209192562,6,574990.0
15,Bexar County,Texas,155683.49445813816,251967.22465032944,61.84581771324582,6,567488.0
16,Santa Clara County,California,898320.882500484,1607793.350608101,78.97762168600538,9,486356.0
17,Broward County,Florida,210363.57725608523,417699.2816953737,98.56064778119323,4,652397.0
18,Wayne County,Michigan,75842.6545729495,169663.81845037927,123.70501059820842,5,650804.0
19,Alameda County,California,674171.3049199301,1040969.99122094,54.40734181716231,9,405480.0
20,New York County,New York,1363975.544020389,1203576.500413914,-11.759671521212942,3,126503.0
21,Middlesex County,Massachusetts,457644.7179274647,788821.5698608992,72.36549204221889,1,390642.0
22,Philadelphia County,Pennsylvania,125199.83404958704,227490.1575396301,81.70164462800298,2,477154.0
23,Sacramento County,California,298782.88837317255,517200.23036861257,73.10235977190302,9,443240.0
24,Suffolk County,New York,397065.8976812516,688223.9468546634,73.32738743712052,3,487590.0
25,Palm Beach County,Florida,240335.9886849545,460279.55676210177,91.51503662876776,4,530976.0
26,Bronx County,New York,434638.47146260535,491230.2615813573,13.020428202849704,3,81517.0
27,Hillsborough County,Florida,182027.85152544605,370808.6966322304,103.70986831122066,4,448186.0
28,Orange County,Florida,197794.4559545316,396741.0491403995,100.58249217642438,4,397341.0
29,Nassau County,New York,487650.3318927162,815539.8608745527,67.2386559667046,3,371341.0
30,Franklin County,Ohio,136400.83220792512,286020.55863233766,109.69121229138614,5,388712.0
31,Oakland County,Michigan,199412.93715665312,352234.5677998338,76.6357653732006,5,428953.0
32,Hennepin County,Minnesota,237102.69637479735,373252.766125887,57.422404651135636,5,384562.0
33,Travis County,Texas,305356.50720596436,465103.6916014128,52.314976306595696,6,309932.0
34,Cuyahoga County,Ohio,103224.63211047796,207633.16890228097,101.1469207078965,5,441210.0
35,Allegheny County,Pennsylvania,134713.5053979512,229030.12668123204,70.01274371464412,2,462126.0
36,Salt Lake County,Utah,271410.71365691326,562261.9655034323,107.16277479531642,8,324763.0
37,Contra Costa County,California,509454.091471801,763289.7756009164,49.82503593126321,9,310943.0
38,Fairfax County,Virginia,499694.094194003,750026.3854198925,50.09710823772507,2,337120.0
39,Fairfax County,Virginia,499694.094194003,750026.3854198925,50.09710823772507,2,6746.0
40,Wake County,North Carolina,258130.07865109775,470742.4953113395,82.3663858823752,4,338927.0
41,Mecklenburg County,North Carolina,197445.93106071636,414187.4679786311,109.77260243021408,4,310835.0
42,Montgomery County,Maryland,432144.7841824246,605295.0194685798,40.067644369175575,2,257826.0
43,Fulton County,Georgia,233307.35720789956,412322.30194619665,76.72923257999848,4,302999.0
44,Collin County,Texas,285328.21375433455,480349.1814802376,68.3496963583891,6,300712.0
45,Pima County,Arizona,179539.81116825543,338250.4903679754,88.39859982418301,9,383267.0
46,Honolulu County,Hawaii,566271.6715785377,839549.8549996,48.25920086365483,9,169009.0
47,Fresno County,California,210975.09996837657,400897.03153582616,90.02101745462726,9,267394.0
48,Westchester County,New York,543528.3290158152,827766.1953944877,52.29494972108473,3,206605.0
49,Duval County,Florida,145383.87054691216,288300.1824781444,98.3027287646165,4,328032.0
50,Marion County,Indiana,101467.86697030543,223605.8109961235,120.37105703775337,5,306743.0
51,Pinellas County,Florida,180417.5206488424,358121.9061788118,98.496190885943,4,391677.0
52,Bergen County,New Jersey,466600.4847493108,748175.0833401111,60.34597215261811,3,254586.0
53,Erie County,New York,140185.21771163787,277346.14757100237,97.84264853196265,3,316416.0
54,Gwinnett County,Georgia,195457.75894015332,403628.59432848095,106.50425775733308,4,259496.0
55,Milwaukee County,Wisconsin,131178.6042818191,271085.2185453751,106.65353167120605,5,209800.0
56,DuPage County,Illinois,265201.7096656561,416639.23461694416,57.10277099729398,5,297865.0
57,Shelby County,Tennessee,108930.4860918066,213472.6041254026,95.9714050532079,4,303314.0
58,Pierce County,Washington,259661.27868888256,555694.1414453168,114.00731917026832,10,292228.0
59,Kern County,California,189321.13587617708,357583.2476218678,88.87655937989949,9,259635.0
60,Denton County,Texas,256575.2018056095,435474.7020644406,69.72595129999029,6,256297.0
61,Macomb County,Michigan,134545.30496070636,258646.46264046573,92.2374494717618,5,296724.0
62,San Francisco County,California,1105099.2982528408,1258392.6449172636,13.871454529631796,9,195187.0
63,Hidalgo County,Texas,97585.8142115901,188004.3852884454,92.65544567861632,6,241790.0
64,El Paso County,Texas,128588.6180903818,225718.26158575955,75.53517950329608,6,244639.0
65,Middlesex County,New Jersey,319984.49806674424,569352.6682138025,77.93132844049326,3,212397.0
66,Worcester County,Massachusetts,242100.9481203839,479759.8996022569,98.16522955692759,1,209146.0
67,Essex County,New Jersey,358211.76197620976,643745.0713757296,79.71075763237592,3,146486.0
68,Montgomery County,Pennsylvania,277790.6816188525,470070.419378046,69.21749017593551,2,262652.0
69,Baltimore County,Maryland,235712.20942897175,351194.04133569,48.992723875645034,2,259538.0
70,Baltimore County,Maryland,235712.20942897175,351194.04133569,48.992723875645034,2,202958.0
71,Ventura County,California,528048.2761177836,862126.2921471503,63.26656692935572,9,230123.0
72,Hamilton County,Ohio,132292.6811399083,259583.8132851825,96.21933053927252,5,249687.0
73,Snohomish County,Washington,336015.77555229206,740790.5611880553,120.46303033554169,10,263689.0
74,Multnomah County,Oregon,336729.2625087514,491112.1280809211,45.847772308816594,10,239735.0
75,Fort Bend County,Texas,252304.34737029308,375013.80916805146,48.63549244265083,6,255919.0
76,Essex County,Massachusetts,374216.9008633788,695979.4250945972,85.98289481016499,1,196259.0
77,Suffolk County,Massachusetts,494516.695624189,745637.9586397508,50.78114960276346,1,132056.0
78,Oklahoma County,Oklahoma,126657.06965710549,218759.3735747284,72.71785472928471,6,260669.0
79,Jefferson County,Kentucky,143815.80641545623,256179.98698325068,78.13061955317757,4,243583.0
80,San Joaquin County,California,293751.56427964114,522250.08708998543,77.78631694121695,9,210718.0
81,Cobb County,Georgia,216815.76222667145,416539.4431786534,92.11677181623887,4,223468.0
82,San Mateo County,California,1043721.8478641468,1526212.0709408773,46.22785506158461,9,182415.0
83,Monroe County,New York,133445.34844384578,267127.8736514382,100.17773325673203,3,243537.0
84,Lee County,Florida,206645.145903696,336669.9416981736,62.92177598745716,4,346951.0
85,El Paso County,Colorado,242526.6812361985,447036.2120315649,84.32454926317699,8,231278.0
86,Norfolk County,Massachusetts,440458.16368235834,744821.8164614271,69.1016032565954,1,206603.0
87,Lake County,Illinois,227204.84219394735,373200.1873486749,64.25714511405639,5,226128.0
88,Jackson County,Missouri,110569.64481583818,236979.10113757476,114.32564202614628,7,245732.0
89,Polk County,Florida,141685.77439230258,295266.39125002566,108.39522705538933,4,272548.0
90,Hudson County,New Jersey,378848.044157042,626747.4543078742,65.43505080049238,3,85704.0
91,Davidson County,Tennessee,216549.61057944296,424609.2804311519,96.07944770483925,4,222214.0
92,Denver County,Colorado,338920.3734773205,530774.7900532456,56.607519520735885,8,204838.0
93,Will County,Illinois,209679.0430215508,359332.2930848094,71.37253580839608,5,220472.0
94,Bernalillo County,New Mexico,176153.99857776007,339334.96746523096,92.63540436491286,6,226675.0
95,Jefferson County,Alabama,124627.25779097648,209114.2321651109,67.79173021349398,4,241933.0
96,Tulsa County,Oklahoma,129840.03016141913,243764.16819970857,87.74192203795485,6,221015.0
97,Providence County,Rhode Island,207024.38435157048,435848.1109254371,110.5298427963328,1,153665.0
98,Kent County,Michigan,156308.87769506525,337270.788962551,115.7719983253381,5,206176.0
99,Arapahoe County,Colorado,299682.3506488497,506129.9868557633,68.88882036594039,8,199030.0
100,Utah County,Utah,258978.39019448345,535627.6526850734,106.82329992198822,8,173860.0
101,Bucks County,Pennsylvania,288560.95850819815,503768.7203284798,74.57965309405066,2,212765.0
102,Monmouth County,New Jersey,392293.5055182458,737881.9956038473,88.09436945152996,3,196460.0
103,Ocean County,New Jersey,263950.406831109,526328.9668969709,99.40449163003073,3,214768.0
104,Montgomery County,Texas,228152.9537551821,339450.1610331378,48.781839308283686,6,198527.0
105,Johnson County,Kansas,244750.3302612165,442844.3575634714,80.93718488176651,7,195981.0
106,Brevard County,Florida,165838.00867495884,335986.6034851486,102.5992751418522,4,249193.0
107,Washington County,Oregon,331022.06405439187,555775.123498565,67.89670050732416,10,176868.0
108,Williamson County,Texas,254005.81010028537,400098.2693875511,57.515400623940934,6,177153.0
109,Anne Arundel County,Maryland,337120.98818576563,493266.82240341074,46.317446759382186,2,176381.0
110,Jefferson County,Colorado,341500.66772735503,609449.8432726973,78.4622698773947,8,205607.0
111,Douglas County,Nebraska,150089.1843988788,284132.3227723788,89.30899245695502,7,179063.0
112,Bristol County,Massachusetts,274145.72756513185,526162.7791074197,91.92813390914995,1,133589.0
113,Delaware County,Pennsylvania,189416.71368746812,350517.6725161164,85.05107901642725,2,170879.0
114,Union County,New Jersey,338917.39770544576,613693.7981839413,81.07474043492586,3,124053.0
115,New Castle County,Delaware,216810.0875837916,358267.3087477824,65.2447599373443,2,181854.0
116,Dane County,Wisconsin,246611.826755821,450517.356272101,82.68278622264698,5,162623.0
