state,county,resPenetrationRateSfha,resPenetrationRate,resContractsInForceSfha,resContractsInForce,totalResStructuresSfha,totalResStructures,fipsCode,percent_sfha,fema_region
Alabama,Autauga County,0.2309,0.0095,145.0,197.0,628.0,20789.0,1001.0,3.020828322670643,4
Alabama,Baldwin County,0.6611,0.0966,6903.0,9404.0,10442.0,97390.0,1003.0,10.721840024643187,4
Alabama,Barbour County,0.1282,0.0029,20.0,30.0,156.0,10455.0,1005.0,1.4921090387374463,4
Alabama,Bibb County,0.0488,0.0019,12.0,15.0,246.0,7693.0,1007.0,3.1977122059014684,4
Alabama,Blount County,0.0885,0.0011,17.0,24.0,192.0,22586.0,1009.0,0.8500841229079962,4
Alabama,Bullock County,0.0199,0.0008,3.0,3.0,151.0,3986.0,1011.0,3.7882589061716008,4
Alabama,Butler County,,0.0001,0.0,1.0,75.0,8411.0,1013.0,0.891689454286054,4
Alabama,Calhoun County,0.1705,0.0067,267.0,311.0,1566.0,46411.0,1015.0,3.374200081877141,4
Alabama,Chambers County,0.1473,0.0018,19.0,26.0,129.0,14662.0,1017.0,0.8798253989905879,4
Alabama,Cherokee County,0.1489,0.0127,144.0,170.0,967.0,13334.0,1019.0,7.252137393130344,4
Alabama,Chilton County,0.0625,0.0016,14.0,27.0,224.0,17022.0,1021.0,1.315944072376924,4
Alabama,Choctaw County,0.0345,0.0032,18.0,24.0,521.0,7576.0,1023.0,6.8769799366420274,4
Alabama,Clarke County,0.2155,0.0032,25.0,31.0,116.0,9602.0,1025.0,1.2080816496563216,4
Alabama,Clay County,,,,,57.0,6200.0,1027.0,0.9193548387096774,4
Alabama,Cleburne County,0.0236,0.0005,3.0,3.0,127.0,6341.0,1029.0,2.0028386689796562,4
Alabama,Coffee County,0.212,0.0064,99.0,159.0,467.0,24862.0,1031.0,1.8783685946424262,4
Alabama,Colbert County,0.1188,0.0036,53.0,86.0,446.0,24006.0,1033.0,1.857868866116804,4
Alabama,Conecuh County,0.0238,0.0005,1.0,3.0,42.0,5737.0,1035.0,0.7320899424786473,4
Alabama,Coosa County,0.0687,0.0029,9.0,16.0,131.0,5569.0,1037.0,2.352307416053151,4
Alabama,Covington County,0.1415,0.0051,87.0,95.0,615.0,18643.0,1039.0,3.298825296357882,4
Alabama,Crenshaw County,0.0323,0.0004,2.0,3.0,62.0,6732.0,1041.0,0.9209744503862151,4
Alabama,Cullman County,0.1919,0.0022,57.0,80.0,297.0,35684.0,1043.0,0.8323057953144266,4
Alabama,Dale County,0.2778,0.0035,35.0,71.0,126.0,20036.0,1045.0,0.6288680375324416,4
Alabama,Dallas County,0.08,0.0118,185.0,200.0,2312.0,16955.0,1047.0,13.636095547036273,4
Alabama,DeKalb County,0.0745,0.0016,38.0,52.0,510.0,32260.0,1049.0,1.5809051456912586,4
Alabama,Elmore County,0.3292,0.0111,237.0,322.0,720.0,28938.0,1051.0,2.488077959776073,4
Alabama,Escambia County,0.1011,0.0053,56.0,87.0,554.0,16281.0,1053.0,3.4027393894723907,4
Alabama,Etowah County,0.2719,0.0055,189.0,232.0,695.0,42119.0,1055.0,1.650086659227427,4
Alabama,Fayette County,0.1014,0.0021,15.0,17.0,148.0,8170.0,1057.0,1.8115055079559363,4
Alabama,Franklin County,0.0497,0.0009,8.0,12.0,161.0,12941.0,1059.0,1.2441078741982845,4
Alabama,Geneva County,0.1038,0.004,27.0,52.0,260.0,13082.0,1061.0,1.9874636905671916,4
Alabama,Greene County,0.1362,0.0186,70.0,72.0,514.0,3867.0,1063.0,13.291957589862943,4
Alabama,Hale County,0.0711,0.0098,59.0,64.0,830.0,6511.0,1065.0,12.747657809860236,4
Alabama,Henry County,0.1207,0.0036,21.0,32.0,174.0,8778.0,1067.0,1.9822282980177717,4
Alabama,Houston County,0.3025,0.0076,216.0,326.0,714.0,42862.0,1069.0,1.6658112080630862,4
Alabama,Jackson County,0.1151,0.0053,103.0,126.0,895.0,23650.0,1071.0,3.7843551797040167,4
Alabama,Jefferson County,0.1372,0.005,767.0,1202.0,5592.0,241933.0,1073.0,2.3113837302062965,4
Alabama,Lamar County,0.0474,0.002,10.0,12.0,211.0,6068.0,1075.0,3.4772577455504288,4
Alabama,Lauderdale County,0.1007,0.0033,83.0,132.0,824.0,39628.0,1077.0,2.0793378419299486,4
Alabama,Lawrence County,0.1523,0.0044,53.0,64.0,348.0,14385.0,1079.0,2.4191866527632953,4
Alabama,Lee County,0.1528,0.0051,151.0,265.0,988.0,51557.0,1081.0,1.9163256201873653,4
Alabama,Limestone County,0.2018,0.0062,91.0,227.0,451.0,36523.0,1083.0,1.2348383210579634,4
Alabama,Lowndes County,0.1962,0.0172,62.0,66.0,316.0,3845.0,1085.0,8.218465539661898,4
Alabama,Macon County,0.0336,0.0024,9.0,21.0,268.0,8687.0,1087.0,3.0850696442960746,4
