,state,totalResStructures,average_value,percent_growth,percent_sfha
0,Alabama,1716071.0,221826.76605531998,66.3769714415267,3.353416029989435
1,Arizona,2643702.0,416286.32021341944,96.3691736472662,2.1780820985118594
2,Arkansas,1108628.0,212946.2091320423,64.34105213688628,3.5994039479428626
3,California,10511187.0,813933.1303790831,79.86654505081681,2.850049190448234
4,Colorado,1959107.0,548831.6784240453,80.51196493143829,1.0800839362015449
5,Delaware,366216.0,397770.50246115547,67.90246038988681,5.694180483648994
6,Florida,7310762.0,370749.9977177645,95.98396228209738,13.1793648869981
7,Georgia,3282720.0,317898.06988572556,98.29800384429512,2.080469854267193
8,Hawaii,304087.0,806833.479226216,59.93208255509573,2.7350725285855697
9,Idaho,680321.0,463119.2125319082,141.38899650134346,2.0286012044314377
10,Illinois,3694695.0,278875.6747695095,60.14352354195198,1.3936739027172744
11,Indiana,2390205.0,245727.58239211436,100.45637960823319,2.322394941019703
12,Iowa,1361296.0,220388.50019127774,64.63052183996048,2.199080875871229
13,Kansas,934440.0,256724.55881853215,84.98660523503446,2.0066563931338557
14,Kentucky,1648290.0,221761.60732433514,82.30612332861993,3.2684175721505317
15,Louisiana,1292782.0,198634.97148694866,15.444665847734475,15.912814380150714
16,Maine,538014.0,374506.7529101938,105.00809877117678,0.9588969803759754
17,Maryland,2067950.0,420260.5356519582,50.592958058849284,0.96578737396939
18,Massachusetts,1819669.0,660002.9596506549,80.80707140501553,2.956251933730805
19,Michigan,3830058.0,252616.9592476493,97.78920666620792,1.4849383481921161
20,Minnesota,2148194.0,327381.28995800077,71.6164154614879,0.7422513981511912
21,Mississippi,883941.0,195063.6156182629,46.75181146249329,7.87405494258101
22,Missouri,1609486.0,246061.77491527193,90.25107556604817,1.5983363632861671
23,Montana,421220.0,469663.04726139916,111.36544877112273,2.8861402592469494
24,Nebraska,675987.0,267644.0035187087,85.61145748410593,3.749184525737921
25,Nevada,1019916.0,441875.00829218794,101.81870507025873,1.9839869165695998
26,New Hampshire,414294.0,488736.8696911372,114.97011450557342,2.78884077490864
27,New Jersey,2419797.0,566494.1716395498,79.98744426142177,6.673328382504813
28,New Mexico,637911.0,322477.82959153753,71.49860120802107,5.2272182169613
29,New York,4656554.0,506827.90306093084,73.37657302002049,2.0437430769620626
30,North Carolina,3868059.0,326384.07431974594,94.45337485571176,2.8446567128371103
31,North Dakota,188651.0,289563.0051752254,26.47376225175231,3.483681507121616
32,Ohio,4281441.0,236212.34659976806,93.38395206575275,1.6914398680257419
33,Oklahoma,1466765.0,205515.01102025996,72.5310719144189,2.2923235828506954
34,Oregon,1490468.0,478370.0396652171,82.73026171207583,2.796168720160379
35,Pennsylvania,4567355.0,282545.229928344,70.36845453184964,1.9612883167610138
36,Rhode Island,306168.0,509942.3860922845,108.4774960354237,3.656162629667372
37,South Carolina,1937866.0,303994.1854977737,81.65952169831745,4.011474477595458
38,South Dakota,222389.0,319481.14278666436,81.80958112314302,2.993403450710242
39,Tennessee,2554259.0,316215.54813474126,105.6832962648168,1.6237977432985458
40,Texas,8585075.0,293751.86956149107,66.80935616987551,4.162351522846335
41,Utah,956228.0,543361.9409079727,115.17926348718049,0.8180057475832123
42,Vermont,257879.0,381444.858455889,65.63575326289924,1.7903745555085913
43,Virginia,2570837.0,467567.290599909,64.84254612980378,1.6435787010554401
44,Washington,2479763.0,594281.4429277705,106.21087910538725,1.6042258877158826
45,West Virginia,652488.0,181320.54440162017,58.18905479499875,7.205189980505389
46,Wisconsin,1911770.0,316808.01230981457,96.19101937142467,1.4029930378654336
47,Wyoming,259120.0,410277.1716430306,58.30809421578922,1.7381907996295154
